No,සෙල්ලිපි අංකය,අක්ෂර පරිවර්තනය
158,503,[1] [ශු]ඣත-තෙරහ ලෙණ‌ෙ ශගශ
159,505,
160,506,[4] මුල(ශො)ම-තෙරශ ලෙණ‌ෙ චතු-දිශ-ශගශ
161,507,[5] පරුමක-බතකරක-නග-කුලහ ච ගොති-මතහ ච ලෙණ‌ෙ
162,508,[6] තිශගුත-තෙරහ ලෙණ‌ෙ අගත-අනගත-චතු-දිශ-ශගශ දිනෙ
163,509,[7] ශගරකිත-තෙරශ ලෙණ‌ෙ ශුදශනෙ
164,510,[8] බත-දිනහ ලෙණ‌ෙ සඝහ
165,511,511 [9] බත-ශුමනගුතශ ල‌ෙණ‌ෙ සඝහ
166,512,512 [10] ශුඣත-තෙරශ බතික තිශදත-තෙරහ ල‌ෙණ‌ෙ ශගශ
167,514,514 [12] ශගශ ල‌ෙණ‌ෙ
168,516,516 [14] පරුමක-පුශහ ල‌ෙණ‌ෙ ශගශ
169,517,517 [15] වෙශලි-තෙරහ ල‌ෙණ‌ෙ
170,518,518 [16] ගපති-ශිවහ ල‌ෙණ‌ෙ චතු-දිශික-ශගශ දිනෙ
171,526,526 [4] (සංකේත අංක 31 සහ 32) ශුමනශ ල‌ෙණ‌ෙ ශගශ
172,535,535 [7] (1) ගමික-වශ-පුතනු ගමික තිශ පුශ ගමික-අබහ(2) ශිරිගුත-තෙරහ
173,536,536 [1] ගපති-චුලශ ල‌ෙණ‌ෙ ශගශ
174,537,537 [2] බත-ශිවරකිතශ ල‌ෙණ‌ෙ
175,539,539 [2] මනශ ල‌ෙණ‌ෙ ශගශ දිනෙ
176,544,544 [7] ගමික-තිශ-පුතහ බත-තිශමිතහ ල‌ෙණ‌ෙ
177,545,545 [8] බමණ-අතිමතකහ ල‌ෙණ‌ෙ (ශගශ)
178,546,546 [9] ගපති-මණිකර තිශහ ල‌ෙණ‌ෙ ශගශ
179,570,570 [15] ශුමනගුත-තෙරශ ලෙණෙ ශගශ
180,571,571 [16] සුමනගුත-තෙරහ ලෙණෙ මන[පදශනෙ]
181,578,578 [3] පරුමක-චුලු-ඣය ගමික-වශබ-ඣිතය උපශික-තිශය ලෙණෙ ශගශ දිනෙ
182,580,580 [5] ගණක-රොහකශ ලෙනෙ ශගශ නියතෙ
183,581,581 [6] ගමි[ක] කණ-ඣිතය උපශික තිශය ලෙණෙ ශගශ
184,582,582 [7] ගපිති-කුමරතිහ-පුත චුඩ-කුමරහ අශෙ-දෙවහ ලෙණෙ ශගශ
185,583,583 [8] ශොණහ ලෙණෙ ශගශ
186,584,584 [9] දමගුත-තෙරශ ලෙණෙ
187,585,585 [10] වණිඣ-ශුමනහ ලෙණෙ ශගශ
188,586,586 [11] චුඩ-ගමිකහ ලෙණෙ ශගශ
189,587,587 [12] ගමික-අබහ ලෙණෙ ශගශ
190,588,588 [13] මහතිශ-තෙරහ ලෙණෙ
191,589,589 [14] බමණ-ශුමහ ලෙණෙ ශගශ
192,591,591 [16] වණිඣ-ශුමනහ ලෙණෙ
193,593,593 [18] අනුරද-තෙරහ ච තුලදර-පු[ත] ශුමනහ ච මනපදශනෙ
194,594,594 [19] බත-ශුමනහ පුත-ශුමනහ ශදය ලෙණෙ ශගශ
195,595,595 [20] බත-ශුමනහ ලෙණෙ
196,604,604 [4] අචරිය පරාසරිස ලෙණෙ
197,611,611 [11] බත-ශුමනදතශ ලෙණෙ
198,616,616 [16] ගපති-යශොපල-පුත ශොනශ ලෙණෙ ශගශ දිනෙ
199,623,623 [4] ගමික-ශිව-පුත ගමික-කබොඣහ ලෙණෙ
200,626,626 [7] බත-ශිවහ ලෙණෙ ශගශ
201,629,629 [10] පරුමක-මිත-පුත බඩකරික-දතහ
202,638,638 [19] ගුතශ ලෙණෙ අග[ත]-අනගත-චතු-දිශ-ශගශ
203,642,642 [23] තොටගමිය ගපති-ඔඣක-තිශ-පුත උපශක-නට-තිශශ දනෙ ශගශ පදිටිතෙ
204,656,656 [11] බමණ මරුකුට-ගොතමශ ලෙණෙ අගත-අනගත-චතු-දිශ-ශගශ
205,657,657 [12] බත-වශහ වඩක-ශුවතිය ලෙණෙ
206,658,658 [13] පරුමක-චෙම-පුත පරුමක-පුශදෙවහ ලෙණෙ යෙ
207,659,659 [14] ගමික-උතර-පුත ගමික-පුශදෙවහ ලෙණෙ මනපදශනෙ ශගශ
208,668,668 [8] පුණ-තෙරහ ශදිවිහරිය බත-ශගරකිතහ ලෙණෙ ශගශ
209,670,670 [10] චුඩ-බුදරකිත-තෙරහ අතෙවශික බත-තිශහ [ලෙණෙ]
210,673,673 [2] ගණක-රකිය උපශික-තිශය අඝත-අනගත-ශගශ
211,675,675 [2] උපශක-දතහ ලෙණෙ
212,680,680 [7] චුඩ-දතහ ලෙණෙ ශගශ
213,681,681 [8] උපශක-නදහ ලෙණෙ ශගශ
214,682,682 [9] වශ-තෙරහ ශදිවිහරිය දමගුත-තෙරහ ලෙණෙ
215,689,689 [1] බත-කණගුතශ මහසුදශනෙ ලෙණෙ ශගශ
216,690,690 [2] ගමික-කණ-පුත ගමික-ශදනශ ලෙණනි ශගශ දිනනි
