word,meaning,සෙල්ලිපි අංකය
වරුණගුතහ,වරුණගුත්තගේ,411
ලෙණ‌ෙ,ලෙණ‌,411
ශගශ,සංඝයාට,411
,,412
අශිය,අයුෂ්මන්ත,412
අනුඩිය,අනුඩිගේ,412
ලෙණ‌ෙ,ලෙණ‌.,412
,,414
ශුමනහ,සුමනගේ,414
ලෙණ‌ෙ,ලෙණ‌.,414
,,418
අශ,අයුෂ්මන්ත,418
චිතගුතහ,චිත්තගුත්තගේ,418
අශ,අයුෂ්මන්ත,418
උපතිශහ,උපතිස්සගේ,418
,,422
දෙවනපිය,දෙවියන්ට,422
මහරඣ,ප්‍රිය,422
ගමිණි,වූ,422
තිශහ,මහරජ,422
පුත,ගාමණී,422
මහ,තිස්සගේ,422
අයහ,පුත්,422
ඣය,වන,422
උපශික,මහ-අයගේ,422
යහශිනිය,භාර්යාව,422
ලෙණ‌ෙ,වන,422
,,423
දෙවනපිය,දෙවියන්ට,423
මහරඣහ,ප්‍රිය,423
ගමණි,වූ,423
තිශහ,මහරජ,423
පුත,ගාමණී,423
මහ,තිස්සගේ,423
අයහ,පුත්,423
මහ,වන,423
